2026-02-07 12:04:58,556 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 12:04:58,556 | TEXTAREA | INFO | Fill 'textarea' 'Textarea' to value 'лень придумывать'
2026-02-07 12:04:58,585 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-07 12:04:58,585 | TEXTAREA | INFO | Checking that 'textarea' 'Textarea' has value 'лень придумывать'
2026-02-07 12:04:58,598 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 12:04:58,598 | INPUT | INFO | Fill 'input' 'Input' to value '100'
2026-02-07 12:04:58,629 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-07 12:04:58,629 | INPUT | INFO | Checking that 'input' 'Input' has value '100'
2026-02-07 12:04:58,636 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-07 12:04:58,636 | INPUT | INFO | Fill 'input' 'Input' to value '40'
2026-02-07 12:04:58,668 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-07 12:04:58,668 | INPUT | INFO | Checking that 'input' 'Input' has value '40'
2026-02-07 12:04:58,675 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-toolbar-create-course-button at index 0
2026-02-07 12:04:58,675 | BASE_ELEMENT | INFO | Clicking button 'Create button'
2026-02-07 12:04:58,747 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/courses"
2026-02-07 12:04:58,757 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-widget-title-text at index 0
2026-02-07 12:04:58,757 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-07 12:04:58,767 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-widget-title-text at index 0
2026-02-07 12:04:58,767 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Новый тайтл'
2026-02-07 12:04:58,777 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-preview-image at index 0
2026-02-07 12:04:58,777 | BASE_ELEMENT | INFO | Checking  that image 'Image is visible'
2026-02-07 12:04:58,789 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-max-score-info-row-view-text at index 0
2026-02-07 12:04:58,789 | BASE_ELEMENT | INFO | Checking  that text 'Max_score is visible'
2026-02-07 12:04:58,796 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-max-score-info-row-view-text at index 0
2026-02-07 12:04:58,796 | BASE_ELEMENT | INFO | Checking  that text 'Max_score' has text 'Max score: 100'
2026-02-07 12:04:58,802 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-min-score-info-row-view-text at index 0
2026-02-07 12:04:58,802 | BASE_ELEMENT | INFO | Checking  that text 'Min_score is visible'
2026-02-07 12:04:58,810 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-min-score-info-row-view-text at index 0
2026-02-07 12:04:58,810 | BASE_ELEMENT | INFO | Checking  that text 'Min_score' has text 'Min score: 40'
2026-02-07 12:04:58,818 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-estimated-time-info-row-view-text at index 0
2026-02-07 12:04:58,818 | BASE_ELEMENT | INFO | Checking  that text 'Estimated_time is visible'
2026-02-07 12:04:58,825 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-estimated-time-info-row-view-text at index 0
2026-02-07 12:04:58,825 | BASE_ELEMENT | INFO | Checking  that text 'Estimated_time' has text 'Estimated time: 1 day'
